,year,type,country,age,species_,fecha_limpia,fatal,sex,latitud,longitud,country2,fatal_N,fatal_Unknown,fatal_Y,fatal_N.1,fatal_Unknown.1,fatal_Y.1,species_.1,fecha_limpia.1,type.1,age_NORM,wind_speed950mb,wind_speed900mb,wind_speed850mb,wind_speed800mb,wind_speed750mb,wind_speed700mb,wind_speed650mb,wind_speed600mb,wind_speed550mb,wind_speed500mb,wind_speed450mb,wind_speed400mb,wind_speed350mb,wind_speed300mb,wind_speed250mb,wind_speed200mb,wind_direct950mb,wind_direct900mb,wind_direct850mb,wind_direct800mb,wind_direct750mb,wind_direct700mb,wind_direct650mb,wind_direct600mb,wind_direct550mb,wind_direct500mb,wind_direct450mb,wind_direct400mb,wind_direct350mb,wind_direct300mb,wind_direct250mb,wind_direct200mb,rh_new950mb,rh_new900mb,rh_new850mb,rh_new800mb,rh_new750mb,rh_new700mb,rh_new650mb,rh_new600mb,rh_new550mb,rh_new500mb,rh_new450mb,rh_new400mb,rh_new350mb,rh_new300mb,rh_new250mb,rh_new200mb,timepoint,cloudcover,highcloud,midcloud,lowcloud,temp2m,lifted_index,rh2m,msl_pressure,prec_amount,snow_depth,wind10m.direction,wind10m.speed,lon,lat
32,2017,Boating,usa,27.0,White shark,Aug,N,M,39.7837304,-100.445882,HN,1,0,0,1,0,0,4,1,1,6.313925056346614,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
33,2017,Unprovoked,usa,15.0,Unespecific,Jul,N,M,39.7837304,-100.445882,HN,1,0,0,1,0,0,3,6,7,4.581659276135893,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
34,2017,Invalid,usa,10.0,Lemon shark,Jul,Unknown,M,39.7837304,-100.445882,HN,0,1,0,0,1,0,1,6,3,3.58302947382199,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
35,2017,Unprovoked,usa,12.0,Unespecific,Jul,N,F,39.7837304,-100.445882,HN,1,0,0,1,0,0,3,6,7,4.014118284080704,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
36,2017,Unprovoked,usa,27.0,Tiger shark,Jul,N,F,39.7837304,-100.445882,HN,1,0,0,1,0,0,2,6,7,6.313925056346614,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
37,2017,Unprovoked,usa,40.0,Lemon shark,Jul,N,F,39.7837304,-100.445882,HN,1,0,0,1,0,0,1,6,7,7.694116247373475,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
38,2017,Invalid,usa,8.0,Tiger shark,Jul,Unknown,F,39.7837304,-100.445882,HN,0,1,0,0,1,0,2,6,3,3.0924534898737304,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
39,2017,Boating,usa,40.0,White shark,Jul,N,M,39.7837304,-100.445882,HN,1,0,0,1,0,0,4,6,1,7.694116247373475,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
40,2017,Unprovoked,usa,50.0,White shark,Jul,N,M,39.7837304,-100.445882,HN,1,0,0,1,0,0,4,6,7,8.568961017177946,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
41,2017,Unprovoked,usa,27.0,White shark,Jul,N,M,39.7837304,-100.445882,HN,1,0,0,1,0,0,4,6,7,6.313925056346614,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
42,2017,Boating,usa,27.0,White shark,Jul,N,M,39.7837304,-100.445882,HN,1,0,0,1,0,0,4,6,1,6.313925056346614,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
43,2017,Unprovoked,usa,46.0,Tiger shark,Jul,N,M,39.7837304,-100.445882,HN,1,0,0,1,0,0,2,6,7,8.233822118168822,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
44,2017,Invalid,usa,27.0,Tiger shark,Jun,Unknown,M,39.7837304,-100.445882,HN,0,1,0,0,1,0,2,7,3,6.313925056346614,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
45,2017,Unprovoked,usa,16.0,Unespecific,Jun,N,F,39.7837304,-100.445882,HN,1,0,0,1,0,0,3,7,7,4.754472937004027,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
46,2017,Unprovoked,usa,27.0,Unespecific,Jun,N,M,39.7837304,-100.445882,HN,1,0,0,1,0,0,3,7,7,6.313925056346614,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
47,2017,Unprovoked,usa,14.0,Tiger shark,Jun,N,F,39.7837304,-100.445882,HN,1,0,0,1,0,0,2,7,7,4.401298165473145,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
48,2017,Unprovoked,usa,19.0,Unespecific,Jun,N,M,39.7837304,-100.445882,HN,1,0,0,1,0,0,3,7,7,5.234668409736022,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
49,2017,Unprovoked,usa,27.0,Unespecific,Jun,N,M,39.7837304,-100.445882,HN,1,0,0,1,0,0,3,7,7,6.313925056346614,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
50,2017,Provoked,usa,20.0,Unespecific,May,N,F,39.7837304,-100.445882,HN,1,0,0,1,0,0,3,9,4,5.383838360482004,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
51,2017,Unprovoked,usa,27.0,Tiger shark,May,N,M,39.7837304,-100.445882,HN,1,0,0,1,0,0,2,9,7,6.313925056346614,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
52,2017,Invalid,usa,18.0,Tiger shark,May,Unknown,F,39.7837304,-100.445882,HN,0,1,0,0,1,0,2,9,3,5.08038032862004,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
53,2017,Unprovoked,usa,27.0,Unespecific,Apr,N,F,39.7837304,-100.445882,HN,1,0,0,1,0,0,3,0,7,6.313925056346614,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
54,2017,Unprovoked,usa,33.0,Unespecific,Apr,N,F,39.7837304,-100.445882,HN,1,0,0,1,0,0,3,0,7,6.994228303440125,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
55,2017,Invalid,usa,27.0,Tiger shark,Apr,Unknown,F,39.7837304,-100.445882,HN,0,1,0,0,1,0,2,0,3,6.313925056346614,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
56,2017,Invalid,usa,27.0,Tiger shark,Apr,Unknown,M,39.7837304,-100.445882,HN,0,1,0,0,1,0,2,0,3,6.313925056346614,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
57,2017,Unprovoked,usa,27.0,Unespecific,Apr,N,M,39.7837304,-100.445882,HN,1,0,0,1,0,0,3,0,7,6.313925056346614,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
58,2017,Unprovoked,usa,28.0,Tiger shark,Apr,N,M,39.7837304,-100.445882,HN,1,0,0,1,0,0,2,0,7,6.433604428309159,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
59,2017,Unprovoked,usa,17.0,Unespecific,Apr,N,M,39.7837304,-100.445882,HN,1,0,0,1,0,0,3,0,7,4.9204987475712345,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
60,2017,Unprovoked,usa,35.0,Unespecific,Apr,N,F,39.7837304,-100.445882,HN,1,0,0,1,0,0,3,0,7,7.203188258363141,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
61,2017,Unprovoked,usa,10.0,Unespecific,Apr,N,F,39.7837304,-100.445882,HN,1,0,0,1,0,0,3,0,7,3.58302947382199,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
62,2017,Unprovoked,usa,21.0,Unespecific,Apr,N,F,39.7837304,-100.445882,HN,1,0,0,1,0,0,3,0,7,5.528303710887473,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
63,2017,Unprovoked,usa,16.0,Unespecific,Apr,N,M,39.7837304,-100.445882,HN,1,0,0,1,0,0,3,0,7,4.754472937004027,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
64,2017,Unprovoked,usa,51.0,Unespecific,Apr,N,F,39.7837304,-100.445882,HN,1,0,0,1,0,0,3,0,7,8.650041308669444,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
65,2017,Unprovoked,usa,17.0,Tiger shark,Apr,N,F,39.7837304,-100.445882,HN,1,0,0,1,0,0,2,0,7,4.9204987475712345,2.34375,2.515625,2.953125,3.296875,3.53125,3.9375,4.296875,4.484375,4.609375,4.734375,4.96875,5.046875,5.078125,5.421875,5.640625,5.484375,222.8125,230.46875,276.875,279.921875,271.71875,267.1875,261.5625,261.015625,267.65625,263.671875,271.640625,260.234375,240.46875,235.390625,222.5,248.828125,4.1875,4.0,3.890625,3.640625,3.546875,3.265625,2.453125,1.703125,2.046875,3.28125,4.921875,5.046875,6.078125,6.65625,5.9375,5.734375,97.5,3.5625,-9999.0,-9999.0,-9999.0,12.71875,13.265625,4.8125,1022.96875,0.0,0.0,203.75,2.09375,-100.445882,39.7837304
